ID,age,dom,resources,f.mass,calf.mass,feed.rate
1,8.2,1,L2,34.6,2,28
2,5.6,2,L1,44.9,3.4,16.2
3,8.3,2,L3,36.7,3,16.6
4,9.2,3,L3,37.9,2.1,
5,5.3,2,L3,31.3,4,9.1
6,6.3,2,L4,40.2,4.3,25.9
7,4.3,2,L3,47.6,4.8,5.3
8,,3,L2,40.1,1.6,27.9
9,1.4,4,L3,55.1,3.6,11.8
10,6,2,L3,28.1,3.6,16.3
11,3.3,2,L1,33.8,2.2,16.6
12,8.9,4,L4,47.1,3.8,10.5
13,3.9,2,L4,33.7,3.8,16.4
14,9.6,3,L1,36.7,1.1,7.4
15,8,3,L2,46.6,2.4,22.6
16,9.2,1,L3,28.5,2.1,14.6
17,,3,L4,41.4,4.3,12.8
18,6,2,L2,41.8,2.9,19.7
19,6.6,4,L2,42.2,3.1,13.1
20,4.4,2,L1,37,3.3,4.1
21,4.8,2,L4,39.3,4.3,17
22,3.4,2,L4,36.2,4.8,16.6
23,3.3,3,L4,50,4.3,14
24,9,1,L2,37.6,2.4,31.2
25,7.1,4,L3,42,3.8,16.4
26,8.3,1,L3,36.4,2.1,20.3
27,6.7,3,L3,35.5,3.2,6.6
28,7.6,3,L3,28,2.2,11.3
29,1.9,1,L2,28.1,2.3,15.3
30,2.3,2,L2,41,2.5,8.6
31,4.6,1,L2,31.5,3,16
32,7.5,3,L4,,,4.5
33,1.7,1,,28,2.5,7.4
34,,2,L1,37.4,1.8,10.6
35,8,1,L3,38.8,3.7,20.7
36,1.3,3,L4,37.3,3.7,16
37,6.1,4,L2,50.7,4.4,18.1
38,9.6,4,L3,52.1,3,9.6
39,8.8,1,L2,28.9,2.6,22.5
40,1.5,1,L3,34.5,3.9,11.1
41,7.5,4,L4,40.6,4.1,20.3
42,1.1,3,L3,36.8,3.1,24.4
43,1.6,4,L4,37,3.4,16
44,8.8,3,L2,27,1.7,10.3
45,7.5,2,L2,46.3,3.4,10.6
46,5.8,2,L2,30.2,3,9.3
47,4.8,3,L2,37.3,3.3,18.6
48,9.1,2,L3,28.9,1.9,22.9
49,1.3,2,L2,41,2.5,9.1
50,8,2,L2,41.7,2.2,18.3
51,1.7,2,L3,45.7,3.9,6.8
52,6.4,2,L2,37.5,2.6,22.1
53,1.6,2,L3,40.2,3.1,12.9
54,1.7,1,L4,29.1,3.8,22.4
55,9.4,2,L2,36.1,1.6,21.7
56,8.7,4,L2,37.6,1.8,13.1
57,8.3,3,L3,44.6,3.4,7.7
58,5.9,1,L3,27.5,3.3,15.5
59,8.4,4,L3,35.3,3.3,4.5
60,5.3,2,L1,29.5,2.8,12.8
61,3.6,3,L2,32.6,3.6,20.1
62,4.7,4,L2,37.5,3.2,14.7
63,5.1,3,L4,38.7,,24.3
64,9.6,1,L3,34.9,2.5,21.5
65,9,1,L1,36.7,1.9,25.6
66,2.5,3,L3,43.1,4.4,10.2
67,9.6,2,L3,37.1,2,20
68,2.6,2,L4,35.6,4.8,8
69,5,4,L3,39.4,4.6,1
70,4.1,2,L2,28.4,3,9.8
71,3.2,2,L2,44.4,4.3,19.4
72,2.3,1,L2,32,3.5,18.5
73,1,2,L3,37.2,3.3,16.2
74,5.6,2,L2,32.5,2,17.1
75,3.7,2,L2,31.4,3.1,12.6
76,7.7,2,L1,32.4,1.9,11.4
77,5,3,L1,37.2,3.8,14.7
78,1.2,3,L1,35.3,2.9,13.1
79,7.9,3,L3,51.9,4.5,13.3
80,7.8,2,L3,35,3.4,15.1
81,1.4,3,L2,30.5,2,12.9
82,6.5,1,L1,37.2,2.8,21.8
83,9.6,3,L1,39,1.6,8.8
84,8.2,3,L3,29.9,3.6,13.6
85,1.7,2,L1,32.3,2.3,12.1
86,8.8,3,L4,42.2,2.7,17.8
87,4.2,4,L2,35.9,2.4,10.2
88,2.9,3,L4,36.5,3.6,7.8
89,6.1,2,L3,31.9,4,9.4
90,7.2,3,L2,34.7,2.2,18.5
91,2.6,3,L3,28.1,3.4,21.1
92,9.4,3,L3,34.5,2.3,12.5
93,2.9,3,L2,33.4,2.8,21.1
94,2.2,2,L2,37.2,2.5,4.5
95,4.1,2,L1,35.9,3.1,18.2
96,4.9,3,L2,40,4,18.2
97,3,1,L4,27.3,3.4,3.1
98,1.8,2,L3,35.3,3.6,17.7
99,9.2,3,L2,31.8,0.6,4.9
100,8.8,3,L1,37.8,1.2,24.7
100,8.8,3,L1,37.8,1.2,24.7
101,4.4,2,L1,37,3.3,4.1
102,4.8,2,L4,39.3,4.3,17
103,,2,L4,36.2,4.8,16.6
104,3.3,3,L4,50,4.3,14
105,9,1,L2,37.6,2.4,31.2
106,7.1,4,L3,42,3.8,16.4
107,8.3,1,L3,36.4,2.1,20.3
108,6.7,3,L3,35.5,3.2,6.6
109,1.7,2,L1,32.3,2.3,12.1
110,8.8,3,L4,42.2,2.7,17.8
111,4.2,4,L2,35.9,2.4,10.2
112,2.9,3,L4,36.5,3.6,7.8
113,9.5,3,L2,40.1,1.6,27.9
114,1.4,4,L3,,3.6,11.8
115,6,2,L3,28.1,3.6,16.3
116,3.3,2,L1,33.8,2.2,16.6
