S.no,R_cm,L_cm,Sex,Handedness,Age
1,21.7,30.8,M,RH,23
2,18.5,18.5,F,RH,24
3,22.7,23,F,RH,34
4,22.9,23.3,F,RH,25
5,21.5,21.9,F,RH,24
6,21.7,21.2,F,RH,24
7,25.9,26.9,M,AD,24
8,21.5,22,F,RH,24
9,21,21,M,RH,24
10,21.4,21.4,M,RH,21
11,22.5,22.8,M,RH,30
12,18.9,20,F,RH,28
13,25.4,26,M,RH,24
14,22.7,22.3,M,RH,26
15,22.3,22,M,RH,26
16,20.5,21,F,RH,19
17,17.5,18,M,RH,18
18,21.2,21.9,M,RH,18
19,22,22.3,M,RH,18
20,19.5,19.8,M,AD,18
21,22.6,23.3,M,RH,18
22,19.8,19.6,F,RH,19
23,20,20.2,F,RH,17
24,20.5,20.5,F,RH,21
25,19.6,20,F,LH,21
26,20.4,20.5,F,LH,21
27,22.9,23,M,RH,22
28,23.8,24.2,M,RH,18
29,22,22.6,M,LH,18
30,23.9,24.6,M,RH,19
31,24.4,24.4,M,RH,21
32,21,21,F,RH,18
33,24,24.5,M,RH,31
36,19,19,F,RH,24
37,22.5,22.5,M,RH,20
38,19.5,20.5,F,RH,18
39,23,23,M,RH,18
40,24.3,23.3,M,RH,18
41,20.8,21.3,M,RH,18
42,22,23.5,M,RH,17
43,21,21,F,RH,18
44,21.9,21.9,F,RH,17
45,22.4,22.5,F,RH,17
46,23.5,23.2,M,RH,24
47,23.5,23.5,M,RH,25
48,23,23.2,F,RH,25
49,19.5,19.6,F,RH,20
50,22.5,22,M,RH,20
51,21.8,22,F,RH,19
52,24.8,24.4,M,RH,18
53,19.5,19.5,F,RH,20
54,24.5,25,M,RH,20
55,23,23.5,M,RH,42
56,25.2,25.2,M,AD,20
57,21.4,21.6,F,RH,20
58,22.5,23.2,M,RH,30
59,21,20.5,F,AD,21
60,20.5,20.5,F,RH,22
61,21,21.1,F,R,21
62,20.8,20.7,F,R,23
63,17.7,18.2,F,R,21
64,18.9,19.8,F,R,21
65,23,23,M,R,20
66,24,24.3,M,L,20
67,25,23.9,M,R,18
68,21.9,22,M,R,17
69,19.9,19.7,F,R,18
70,22.6,22.7,M,R,19
71,22.1,21.1,F,R,18
72,19.6,18.5,F,R,18
73,21.8,21,M,R,18
74,21.4,21.9,M,R,19
75,22.7,22.8,M,R,18
76,23.4,23.7,M,RH,20
77,20.7,20,F,RH,26
78,23.5,23.7,M,RH,19
79,23,22.6,M,RH,20
80,22.4,22,F,AD,20
81,23.8,24.3,M,RH,38
82,22.8,22.8,F,RH,20
83,19.6,19.9,F,RH,20
84,25,25.8,M,RH,18
85,24.5,26.2,M,AD,25
86,21.3,21.3,F,RH,24
87,20.3,20.3,F,RH,19
88,21.9,22.7,M,RH,19
89,22.5,22.8,M,RH,18
90,20.5,20.5,F,RH,17
91,22.5,22,M,Right,NA
92,23.5,24,M,Right,NA
93,20.5,21.8,M,Right,NA
94,23.1,23.1,M,Right,NA
95,20.1,20,M,Right,NA
96,22.6,22.4,M,Right,NA
97,20.5,21.1,M,Right,NA
98,19,19.2,M,Right,NA
99,22,22,M,Right,NA
100,21.6,21.7,M,Right,NA
101,23,23.1,M,Right,NA
102,23.5,23.8,M,Right,NA
103,22,22,M,Right,NA
104,23,22.8,M,Right,NA
105,22,22,M,Right,NA
106,15.5,16.9,F,RIGHT,NA
107,19.2,18.6,F,RIGHT,NA
108,19.2,19.3,F,RIGHT,NA
109,17.8,17.7,F,RIGHT,NA
110,18.9,19.4,M,RIGHT,NA
111,23,22.8,M,RIGHT,NA
112,17.3,17,F,RIGHT,NA
113,22.1,22.7,M,RIGHT,NA
114,22.6,22.3,M,RIGHT,NA
115,21.8,22.4,M,RIGHT,NA
116,21.7,21.1,F,RIGHT,NA
117,24.6,25.2,M,RIGHT,NA
118,20.4,20.8,F,RIGHT,NA
119,19.4,19.9,F,RIGHT,NA
120,23,23.9,M,RIGHT,NA
121,21.4,21.3,M,RH,31
122,24.7,24.7,M,RH,32
123,22.8,21.9,M,RH,24
124,25.2,24.8,M,RH,26
125,20.4,21.1,F,RH,21
126,20.7,20.4,M,RH,25
127,22,21.8,M,RH,19
128,19.3,19.8,M,RH,24
129,20.8,21.4,F,RH,28
130,24.2,23.8,M,RH,25
131,25.2,25,M,RH,32
132,23.2,23.7,M,RH,26
133,22.2,21.5,F,RH,23
134,21.5,22.7,F,AD,25
135,25.4,26.4,M,RH,26
136,21.5,21.1,F,Right,24
137,21,24,F,Right,23
138,20.5,20.3,F,Right,23
139,21.3,21.5,M,Right,22
140,24.5,24,M,Right,25
141,19.9,19.6,F,Left,22
142,22.5,22.3,M,Right,33
143,22.7,21.7,M,Right,30
144,21.1,20.5,F,Right,26
145,21.6,22,M,Right,28
146,21.75,21.7,F,Right,27
147,22.7,22.2,M,Right,24
148,22.7,23.9,F,Right,22
149,24.4,24.3,M,Right,27
150,21.3,21.5,F,Right,23
151,19.6,19.8,F,R,26
152,20.5,20.4,F,L,23
153,22,22.3,F,R,23
154,24.3,24.7,M,R,26
155,19.4,19,F,R,22
156,21,21.4,F,R,24
157,21.8,21.5,M,R,25
158,21,20.8,F,R,27
159,22.8,23.2,M,R,26
160,21,21.2,F,R,28
161,19.2,19.3,F,R,27
162,21,21.1,F,R,27
163,24.6,24,M,R,24
164,21.8,21.9,F,R,22
165,20.9,20.8,F,R,24
166,21.9,21.9,M,A,24
167,20,20.1,F,R,24
168,21.3,21.2,F,R,24
169,23.2,23.5,F,A,38
170,18.4,19.3,F,R,26
171,22.9,23.2,M,R,36
172,20.1,20.4,F,R,21
173,21.1,22.3,F,R,20
174,27.8,28,M,R,23
175,22.8,22.9,M,R,25
176,24.8,24.9,M,R,25
177,24.5,23.8,M,R,23
178,24.2,24.4,M,R,24
179,20.2,20.8,F,Right,NA
